rand_index,pmid,title,abstract,journal,classification
0.418307523,27556480,From Cells to Virus Particles: Quantitative Methods to Monitor RNA Packaging,"In cells, positive strand RNA viruses, such as Retroviridae , must selectively recognize their full-length RNA genome among abundant cellular RNAs to assemble and release particles. How viruses coordinate the intracellular trafficking of both RNA and protein components to the assembly sites of infectious particles at the cell surface remains a long-standing question. The mechanisms ensuring packaging of genomic RNA are essential for viral infectivity. Since RNA packaging impacts on several essential functions of retroviral replication such as RNA dimerization, translation and recombination events, there are many studies that require the determination of RNA packaging efficiency and/or RNA packaging ability. Studies of RNA encapsidation rely upon techniques for the identification and quantification of RNA species packaged by the virus. This review focuses on the different approaches available to monitor RNA packaging: Northern blot analysis, ribonuclease protection assay and quantitative reverse transcriptase-coupled polymerase chain reaction as well as the most recent RNA imaging and sequencing technologies. Advantages, disadvantages and limitations of these approaches will be discussed in order to help the investigator to choose the most appropriate technique. Although the review was written with the prototypic simple murine leukemia virus (MLV) and complex human immunodeficiency virus type 1 (HIV-1) in mind, the techniques were described in order to benefit to a larger community.",Viruses,IMMUN
0.288658314,28356679,Identification and analysis of insulin like peptides in nematode secretomes provide targets for parasite control,"Insulin-like (ins) peptides play an important role in development and metabolism across the metazoa. In nematodes, these are also required for dauer formation and longevity and are expressed in different types of neurons across various life stages which demonstrate their role in parasites and could become possible targets for parasite control. To date, many nematode genomes are publically available. However, a systematic screening of ins peptides across different nematode group has not been reported. In the present study, we systematically identified ins peptides in the secretomes of 73 nematodes with fully sequenced genomes covering five different groups viz. plant parasitic, animal parasitic, human parasitic, entomopathogenic and free living nematodes. From the total of 93,949 secretory proteins, 176 proteins were uniquely mapped to 40 identified C. elegans ins families. The obtained result showed that 74.15% of the identified ins proteins were represented in free living nematodes only and remaining 25.84% were combinedly identified in all other nematode groups. The ins-1, ins-17 and ins-18 were the only ins families which were detected in all the studied nematode groups. Out of 176 proteins, 96 of ins proteins were predicted as hydrophilic in nature and 39 proteins were found stable using ProtParam analysis. Our study provides insight into the distribution of ins peptides across different group of nematodes and this information could be useful for further experimental study.",Bioinformation,CS
0.464971276,24999802,The Pan-Cancer Analysis of Pseudogene Expression Reveals Biologically and Clinically Relevant Tumour Subtypes," Although individual pseudogenes have been implicated in tumor biology, the biomedical significance and clinical relevance of pseudogene expression have not been assessed in a systematic way. Here we generate pseudogene expression profiles in 2,808 patient samples of seven cancer types from The Cancer Genome Atlas RNA-seq data using a newly developed computational pipeline. Supervised analysis reveals a significant number of pseudogenes differentially expressed among established tumor subtypes; and pseudogene expression alone can accurately classify the major histological subtypes of endometrial cancer. Across cancer types, the tumor subtypes revealed by pseudogene expression show extensive and strong concordance with the subtypes defined by other molecular data. Strikingly, in kidney cancer, the pseudogene-expression subtypes not only significantly correlate with patient survival, but also help stratify patients in combination with clinical variables. Our study highlights the potential of pseudogene expression analysis as a new paradigm for investigating cancer mechanisms and discovering prognostic biomarkers. ",Nature communications,ONCO
0.987055055,22015046,Cell invasion and strain dependent induction of Suppressor of Cytokine Signaling-1 by  Toxoplasma gondii," Toxoplasma gondii is an intracellular parasite that has to cope with the microbicidal actions of IFNγ. Previously we reported that parasite-mediated induction of suppressor of cytokine signaling protein 1 (SOCS1) contributes to inhibition of IFNγ signaling. However, the signaling requirements remained elusive. We now show that induction of SOCS1 and inhibition of nitric oxide production by IFNγ was independent of stimulation of Toll-like receptors. Instead, infection by T. gondii resulted in induction of egr transcription factors which have been reported to regulate SOCS expression. Indeed, induction of egr2 as well as SOCS1 was dependent on p38 MAP kinase and blockade of egr inhibited SOCS1 expression. Moreover, we found that Mic8, a previously identified invasion factor of T. gondii , was necessary for SOCS1 regulation and escape of IFNγ mediated nitric oxide secretion within macrophages. Surprisingly, when further analyzing Mic8 deficient parasites we noted that inhibition of IFNγ mediated up-regulation of MHC-class II and ICAM1 molecules was independent of cell invasion. Furthermore, these inhibitory effects were equally observed in type I and II strains of T. gondii and were dependent on excreted and secreted antigens. In contrast, only the virulent RH type I strain additionally induced SOCS1 and efficiently inhibited nitric oxide secretion by IFNγ. The results show that T. gondii makes use of two different mechanisms to escape from IFNγ activity with one mode being strain dependent and relying on active cell invasion and SOCS1 induction. ",Immunobiology,IMMUN
0.929292947,22947061,Superresolution microscopy for microbiology," Summary  This review provides a practical introduction to superresolution microscopy from the perspective of microbiological research. Because of the small sizes of bacterial cells, superresolution methods are particularly powerful and suitable for revealing details of cellular structures that are not resolvable under conventional fluorescence light microscopy. Here we describe the methodological concepts behind three major categories of super-resolution light microscopy: photoactivated localization microscopy (PALM) and stochastic optical reconstruction microscopy (STORM), structured illumination microscopy (SIM) and stimulated emission-depletion (STED) microscopy. We then present recent applications of each of these techniques to microbial systems, which have revealed novel conformations of cellular structures and described new properties of in vivo protein function and interactions. Finally, we discuss the unique issues related to implementing each of these superresolution techniques with bacterial specimens and suggest avenues for future development. The goal of this review is to provide the necessary technical background for interested microbiologists to choose the appropriate super-resolution method for their biological systems, and to introduce the practical considerations required for designing and analysing superresolution imaging experiments. ",Cellular microbiology,ENG
0.776652222,24047875,Use of kernel-based Bayesian models to predict late osteolysis after hip replacement,"We studied the relationship between osteolysis and polyethylene wear, age at surgery, body mass index and height in 463 subjects (180 osteolysis and 283 controls) after cemented Charnley total hip arthroplasty (THA), in order to develop a kernel-based Bayesian model to quantitate risk of osteolysis. Such tools may be integrated into decision-making algorithms to help personalize clinical decision-making. A predictive model was constructed, and the estimated posterior probability of the implant failure calculated. Annual wear provided the greatest discriminatory information. Age at surgery provided additional predictive information and was added to the model. Body mass index and height did not contain valuable discriminatory information over the range in which observations were densely sampled. The robustness and misclassification rate of the predictive model was evaluated by a five-times cross-validation method. This yielded a 70% correct predictive classification of subjects into osteolysis versus non-osteolysis groups at a mean of 11 years after THA. Finally, the data were divided into male and female subsets to further explore the relationship between wear rate, age at surgery and incidence of osteolysis. The correct classification rate using age and wear rate in the model was approximately 66% for males and 74% for females.","Journal of the Royal Society, Interface",CS
0.464632727,25158932,The recording of adverse events from psychological treatments in clinical trials: evidence from a review of NIHR-funded trials,"Background There is a concern in the literature that harm from interventions is insufficiently documented in clinical trials in general, and in those assessing psychological treatments in particular. A recent decision by a trial steering committee to stop recruitment into a randomized controlled trial (RCT) of a psychological intervention for personality disorder led to an investigation of the recording of harm in trials funded by the National Institute for Health Research (NIHR). Methods The protocols and final reports of all 82 NIHR trials funded between 1995 and 2013 were examined for the reporting of adverse events. These were subdivided by category of intervention. Results None of the psychological intervention trials mentioned the occurrence of an adverse event in their final report. Trials of drug treatments were more likely to mention adverse events in their protocols compared with those using psychological treatments. When adverse events were mentioned, the protocols of psychological interventions relied heavily on severe adverse events guidelines from the National Research Ethics Service (NRES), which were developed for drug rather than psychological interventions and so may not be appropriate for the latter. Conclusions This survey supported the belief that the reporting of adverse events in psychological treatments is weak and the criteria used may not be appropriate. Recommendations are made as to how current practice might be improved.",Trials,CLINIC
0.334655214,14697001,Exchange of Disfluency With Age From Function Words to Content Words in Spanish Speakers Who Stutter," The main purpose of the present study was to examine whether the developmental change in loci of disfluency from mainly function words to mainly content words, observed for English speakers who stutter ( P. Howell, J. Au-Yeung, & S. Sackin, 1999 ), also occurs for comparable Spanish speakers who stutter. The participants were divided into 5 age groups. There were 7 participants in Group 1, from 3 to 5 years old; 11 in Group 2, from 6 to 9 years old; 10 in Group 3, from 10 to 11 years old; 9 in Group 4, from 12 to 16 years old; and 9 in Group 5, from 20 to 68 years old. Across all groups, 36 of the 46 participants were male. The study method involved segmenting speech into phonological words (PWs) that consist of an obligatory content word with optional function words that precede and follow it. The initial function words in the PWs were examined to establish whether they have a higher disfluency rate than the final ones ( J. Au-Yeung, P. Howell, & L. Pilgrim, 1998 ). Disfluency on function words in a PW was higher when the word occurred before a content word rather than after a content word for all age groups. Disfluencies on function and content words were then examined to determine whether they change over age groups in the same way as for English speakers who stutter ( Howell et al., 1999 ). The rate of disfluency on function words was higher than that on content words, particularly in the youngest speakers. Function word disfluency rate dropped off and content word disfluency rate increased across age groups. These patterns are similar to those reported for English. Possible explanations for these similarities across the two languages are discussed. ","Journal of speech, language, and hearing research : JSLHR",PSYCH
0.828213601,27777741,Livestock guardian dogs as surrogate top predators? How Maremma sheepdogs affect a wildlife community,"Abstract Use of livestock guardian dogs ( LGD s) to reduce predation on livestock is increasing. However, how these dogs influence the activity of wildlife, including predators, is not well understood. We used pellet counts and remote cameras to investigate the effects of free ranging LGD s on four large herbivores (eastern gray kangaroo, common wombat, swamp wallaby, and sambar deer) and one mesopredator (red fox) in Victoria, Australia. Generalized mixed models and one‐ and two‐species detection models were used to assess the influence of the presence of LGD s on detection of the other species. We found avoidance of LGD s in four species. Swamp wallabies and sambar deer were excluded from areas occupied by LGD s; gray kangaroos showed strong spatial and temporal avoidance of LGD areas; foxes showed moderately strong spatial and temporal avoidance of LGD areas. The effect of LGD s on wombats was unclear. Avoidance of areas with LGD s by large herbivores can benefit livestock production by reducing competition for pasture and disease transmission from wildlife to livestock, and providing managers with better control over grazing pressure. Suppression of mesopredators could benefit the small prey of those species. Synthesis and applications: In pastoral areas, LGD s can function as a surrogate top‐order predator, controlling the local distribution and affecting behavior of large herbivores and mesopredators. LGD s may provide similar ecological functions to those that in many areas have been lost with the extirpation of native large carnivores.",Ecology and evolution,ECO
0.930363557,23084779,Wavelet Analysis of DNA Walks on the Human and Chimpanzee MAGE/CSAG-palindromes,"The palindrome is one class of symmetrical duplications with reverse complementary characters, which is widely distributed in many organisms. Graphical representation of DNA sequence provides a simple way of viewing and comparing various genomic structures. Through 3-D DNA walk analysis, the similarity and differences in nucleotide composition, as well as the evolutionary relationship between human and chimpanzee MAGE/CSAG-palindromes, can be clearly revealed. Further wavelet analysis indicated that duplicated segments have irregular patterns compared to their surrounding sequences. However, sequence similarity analysis suggests that there is possible common ancestor between human and chimpanzee MAGE/CSAG-palindromes. Based on the specific distribution and orientation of the repeated sequences, a simple possible evolutionary model of the palindromes is suggested, which may help us to better understand the evolutionary course of the genes and the symmetrical sequences.","Genomics, proteomics & bioinformatics",CS
0.716035125,31164879,Diversity and Functional Properties of Lactic Acid Bacteria Isolated From Wild Fruits and Flowers Present in Northern Argentina,"Lactic acid bacteria (LAB) are capable of converting carbohydrate substrates into organic acids (mainly lactic acid) and producing a wide range of metabolites. Due to their interesting beneficial properties, LAB are widely used as starter cultures, as probiotics, and as microbial cell factories. Exploring LAB present in unknown niches may lead to the isolation of unique species or strains with relevant technological properties. Autochthonous rather than allochthonous starter cultures are preferred in the current industry of fermented food products, due to better adaptation and performance of autochthonous strains to the matrix they originate from. In this work, the lactic microbiota of eight different wild tropical types of fruits and four types of flowers were studied. The ability of the isolated strains to produce metabolites of interest to the food industry was evaluated. The presence of 21 species belonging to the genera Enterococcus, Fructobacillus, Lactobacillus, Lactococcus, Leuconostoc , and Weissella was evidenced by using culture-dependent techniques. The isolated LAB corresponded to 95 genotypically differentiated strains by applying rep-PCR and sequencing of the 16S rRNA gene; subsequently, representative strains of the different isolated species were studied for technological properties, such as fast growth rate and acidifying capacity; pectinolytic and cinnamoyl esterase activities, and absence of biogenic amine biosynthesis. Additionally, the strains' capacity to produce ethyl esters as well as mannitol was evaluated. The isolated fruit- and flower-origin LAB displayed functional properties that validate their potential use in the manufacture of fermented fruit-based products setting the background for the design of novel functional foods.",Frontiers in microbiology,ANIMAL
0.076718653,27517945,PHACTR1  Gene Polymorphism Is Associated with Increased Risk of Developing Premature Coronary Artery Disease in Mexican Population,"Single-nucleotide polymorphisms (SNPs) in the protein phosphatase and actin regulator 1 gene ( PHACTR1 ) have been associated with susceptibility to develop several diseases, including cardiovascular disease. The purpose of this study was to evaluate the role of two polymorphisms (rs2026458 and rs9349379) of the PHACTR1 gene in the susceptibility to the risk of developing premature coronary artery disease (CAD) in the Mexican population. The genotype analysis was performed using 5’exonuclease TaqMan genotyping assays in a group of 994 patients with premature CAD and 703 controls. A similar genotype distribution of rs2026458 was observed in both groups; however, under an additive model adjusted by age, body mass index, type 2 diabetes mellitus, smoking, dyslipidemia, and hypertension, the rs9349379 G allele was associated with a higher risk for developing premature CAD (odds ratio (OR) = 1.22, 95% confidence interval (CI) = 1.03–1.46, p -value ( p ) = 0.024). The two PHACTR1 polymorphisms were not in linkage disequilibrium. In summary, our results suggest that the PHACTR1 rs9349379 polymorphism plays an important role in the risk of developing premature CAD in the Mexican population.",International journal of environmental research and public health,POPGENE
0.442123044,19747844,A Robust Two-Dimensional Separation for Top-Down Tandem Mass Spectrometry of the Low-Mass Proteome," For fractionation of intact proteins by molecular weight (MW), a sharply improved two-dimensional (2D) separation is presented to drive reproducible and robust fractionation before top-down mass spectrometry of complex mixtures. The “GELFrEE” (i.e., gel-eluted liquid fraction entrapment electrophoresis) approach is implemented by use of Tris-glycine and Tris-tricine gel systems applied to human cytosolic and nuclear extracts from HeLa S3 cells, to achieve a MW-based fractionation of proteins from 5 to >100 kDa in 1 h. For top-down tandem mass spectroscopy (MS/MS) of the low-mass proteome (5–25 kDa), between 5 and 8 gel-elution (GE) fractions are sampled by nanocapillary-LC-MS/MS with 12 or 14.5 tesla Fourier transform ion cyclotron resonance (FT-ICR) mass spectrometers. Single injections give about 40 detectable proteins, about half of which yield automated ProSight identifications. Reproducibility metrics of the system are presented, along with comparative analysis of protein targets in mitotic versus asynchronous cells. We forward this basic 2D approach to facilitate wider implementation of top-down mass spectrometry and a variety of other protein separation and/or characterization approaches. ",Journal of the American Society for Mass Spectrometry,CHEM
0.421011892,30240113,Spectrally and spatially resolved laser‐induced photobleaching of endogenous flavin fluorescence in cardiac myocytes,"Abstract Naturally occurring endogenous fluorescence of flavins, arising in response to excitation by visible light, offers broad opportunity to investigate mitochondrial metabolic state directly in living cells and tissues, including in clinical settings. However, photobleaching, the loss of the autofluorescence intensity following prolonged exposure to light is an inherent phenomenon occurring during the fluorescence acquisition, which can have a negative impact on the recorded data, particularly in the context of measurement of metabolic modulations in pathophysiological conditions. In the presented study, we present a detailed analysis of endogenous flavins fluorescence photobleaching arising in living cardiac cells during spectrally‐resolved confocal imaging. We demonstrate significant nonuniform photobleaching related to different bleaching rates of individual flavin components, resolved by linear spectral unmixing of the recorded signals. Induced photodamage was without effect on the cell morphology, but lead to significant modifications of the cell responsiveness to metabolic modulators and its contractility, suggesting functional metabolic alterations in the recorded cells. These findings point to the necessity of inducing limited photobleaching during metabolic screening in all studies involving visible light excitation and fluorescence acquisition in living cells. © 2018 The Authors Cytometry Part A published by Wiley Periodicals, Inc. on behalf of International Society for Advancement of Cytometry",Cytometry. Part A : the journal of the International Society for Analytical Cytology,CHEM
